LABEL,TEXT,URL,EMAIL,PHONE
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,No,No,No
ham,What's up? Do you want me to come online? If you are free we can talk sometime�,No,No,No
ham,So u workin overtime nigpun?,No,No,No
ham,"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend.",No,No,No
smishing,Please Stay At Home. To encourage the notion of staying at home. All tax-paying citizens are entitled to �305.96 or more emergency refund. smsg.io/fCVbD,yes,No,No
smishing,BankOfAmerica Alert 137943. Please follow http://bit.do/cgjK-and re-activate,yes,No,yes
ham,Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.,No,No,No
ham,I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?,No,No,No
ham,Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...,No,No,No
ham,Wat r u doing now?,No,No,No
ham,Buy one egg for me da..please:),No,No,No
ham,Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam,No,No,No
ham,Stop the story. I've told him i've returned it and he's saying i should not re order it.,No,No,No
ham,No. I dont want to hear anything,No,No,No
ham,"Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo ham jeetey hai..........",No,No,No
ham,I'm e person who's doing e sms survey...,No,No,No
ham,Mm i had my food da from out,No,No,No
ham,"4 tacos + 1 rajas burrito, right?",No,No,No
ham,"House-Maid is the murderer, coz the man was murdered on  26th January.. ",No,No,No
ham,Yes! How is a pretty lady like you single?,No,No,No
ham,(That said can you text him one more time?),No,No,No
ham,I know she called me,No,No,No
ham,In sch but neva mind u eat 1st lor..,No,No,No
spam,lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468,No,No,yes
ham,Jay says that you're a double-faggot,No,No,No
ham,Ok i thk i got it. Then u wan me 2 come now or wat?,No,No,No
smishing,UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403233,No,No,yes
spam,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow",yes,No,No
ham,Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can...,No,No,No
ham,Whens your radio show?,No,No,No
ham,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)",No,No,No
spam,"New Offer! Save upto 40\% electricity bill with Power Saver(GOVT. LAB TESTED), Rs. 1050/-(free home delivery) 3 Yr. Guarantee Call 9891943823,9891943780",No,No,yes
ham,What * u wearing?,No,No,No
ham,o turns out i had stereo love on mi phone under the unknown album.,No,No,No
ham,"Ela kano.,il download, come wen ur free..",No,No,No
ham,"Haha figures, well I found the piece and priscilla's bowl",No,No,No
ham,Can you do online transaction?,No,No,No
ham,Ü neva tell me how i noe... I'm not at home in da aft wat...,No,No,No
smishing,"	YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386",No,No,yes
spam,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,No,No,No
ham,What you doing?how are you?,No,No,No
ham,I didn't get the second half of that message,No,No,No
smishing,Phony £350 award - Todays Voda numbers ending XXXX are selected to receive a £350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app,No,No,yes
ham,Can help u swoop by picking u up from wherever ur other birds r meeting if u want.,No,No,No
ham,Ok lor�whats up�,No,No,No
ham,Hello madam how are you ?,No,No,No
ham,Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.,No,No,No
ham,Good. do you think you could send me some pix? I would love to see your top and bottom...,No,No,No
