LABEL,TEXT,URL,EMAIL,PHONE,MainText,message_length,num_named_entities,sentiment_score,TEXT_cleaned,anomaly,cluster
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,No,No,No,,136,1,0.25,your opinion about me 1 over 2 jada 3 kusruthi 4 lovable 5 silent 6 spl character 7 not matured 8 stylish 9 simple pls reply,1,0
ham,What's up? Do you want me to come online? If you are free we can talk sometime???,No,No,No,,81,0,0.4,whats up do you want me to come online if you are free we can talk sometime,1,0
smishing,Please Stay At Home. To encourage the notion of staying at home. All tax-paying citizens are entitled to ???305.96 or more emergency refund. smsg.io/fCVbD,yes,No,No,,154,0,0.5,please stay at home to encourage the notion of staying at home all taxpaying citizens are entitled to 30596 or more emergency refund smsgiofcvbd,1,0
smishing,BankOfAmerica Alert 137943. Please follow http://bit.do/cgjK-and re-activate,yes,No,yes,,76,1,0,bankofamerica alert 137943 please follow httpbitdocgjkand reactivate,1,0
ham,Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.,No,No,No,,93,1,-0.233333333,sorry dude dont know how i forgot even after dan reminded me sorry hope you guys had fun,1,0
ham,Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...,No,No,No,,133,1,0,ok lor anyway i thk we cant get tickets now cos like quite late already u wan 2 go look 4 ur frens a not darren is wif them now,1,0
ham,Wat r u doing now?,No,No,No,,18,0,0,wat r u doing now,1,0
ham,Buy one egg for me da..please:),No,No,No,,31,0,0.5,buy one egg for me daplease,1,0
ham,Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam,No,No,No,,101,0,0.9,is there a reason weve not spoken this year anyways have a great week and all the best in your exam,1,0
ham,Stop the story. I've told him i've returned it and he's saying i should not re order it.,No,No,No,,88,0,0,stop the story ive told him ive returned it and hes saying i should not re order it,1,0
ham,I'm e person who's doing e sms survey...,No,No,No,,40,0,0,im e person whos doing e sms survey,1,0
ham,"4 tacos + 1 rajas burrito, right?",No,No,No,,33,0,0.285714286,4 tacos  1 rajas burrito right,1,0
ham,"House-Maid is the murderer, coz the man was murdered on  26th January.. ",No,No,No,,72,1,0,housemaid is the murderer coz the man was murdered on  26th january ,1,0
ham,I know she called me,No,No,No,,20,0,0,i know she called me,1,0
ham,In sch but neva mind u eat 1st lor..,No,No,No,,36,0,0,in sch but neva mind u eat 1st lor,1,0
spam,lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468,No,No,yes,,137,0,0,lyricalladie21f is inviting you to be her friend reply yes910 or no910 see her wwwsmsacuhmmross stop send stop frnd to 62468,1,0
ham,Jay says that you're a double-faggot,No,No,No,,36,1,0,jay says that youre a doublefaggot,1,0
smishing,UR awarded a City Break and could WIN a ??200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403233,No,No,yes,,124,1,0.8,ur awarded a city break and could win a 200 summer shopping spree every wk txt store to 88039  skilgme tscs087147403233,1,0
spam,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow",yes,No,No,,156,1,0.4,hello from orange for 1 months free access to games news and sport plus 10 free texts and 20 photo messages reply yes terms apply wwworangecoukow,1,0
ham,Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can...,No,No,No,,80,1,-0.2,oh lk tt den we take e one tt ends at cine lor dun wan yogasana oso can,1,0
ham,Whens your radio show?,No,No,No,,22,0,0,whens your radio show,1,0
ham,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)",No,No,No,,89,0,0,jane babes not goin 2 wrk feel ill after lst nite foned in already cover 4 me chuck,1,0
spam,"New Offer! Save upto 40\% electricity bill with Power Saver(GOVT. LAB TESTED), Rs. 1050/-(free home delivery) 3 Yr. Guarantee Call 9891943823,9891943780",No,No,yes,,152,1,0.170454545,new offer save upto 40 electricity bill with power savergovt lab tested rs 1050free home delivery 3 yr guarantee call 98919438239891943780,1,0
ham,"Ela kano.,il download, come wen ur free..",No,No,No,,41,1,0.4,ela kanoil download come wen ur free,1,0
ham,"Haha figures, well I found the piece and priscilla's bowl",No,No,No,,57,0,0.2,haha figures well i found the piece and priscillas bowl,1,0
ham,Can you do online transaction?,No,No,No,,30,0,0,can you do online transaction,1,0
smishing,"	YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a ??150 prize. To collect is easy. Just call 09061743386",No,No,yes,,136,1,0.616666667,"	you have won as a valued vodafone customer our computer has picked you to win a 150 prize to collect is easy just call 09061743386",1,0
spam,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,No,No,No,,111,1,0,you will recieve your tone within the next 24hrs for terms and conditions please see channel u teletext pg 750,1,0
ham,What you doing?how are you?,No,No,No,,27,0,0,what you doinghow are you,1,0
ham,I didn't get the second half of that message,No,No,No,,44,0,-0.083333333,i didnt get the second half of that message,1,0
smishing,Phony ??350 award - Todays Voda numbers ending XXXX are selected to receive a ??350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app,No,No,yes,,177,1,0,phony 350 award  todays voda numbers ending xxxx are selected to receive a 350 award if you have a match please call 08712300220 quoting claim code 3100 standard rates app,1,0
ham,Hello madam how are you ?,No,No,No,,25,0,0,hello madam how are you ,1,0
smishing,Apple ID: [BUXCX7GBVwWCcOD Final Notification Your Apple 1D is due to expire today. Prevent this by confirming your Apple ID at???http://verifyapple.uk Apple Inc,yes,No,No,,161,3,-0.291666667,apple id buxcx7gbvwwccod final notification your apple 1d is due to expire today prevent this by confirming your apple id athttpverifyappleuk apple inc,1,0
ham,HEY MATE! HOWS U HONEY?DID U AVE GOOD HOLIDAY? GIMMI DE GOSS!x,No,No,No,,62,0,0.7,hey mate hows u honeydid u ave good holiday gimmi de gossx,1,0
ham,"I don't have anybody's number, I still haven't thought up a tactful way to ask alex",No,No,No,,83,1,0,i dont have anybodys number i still havent thought up a tactful way to ask alex,1,0
ham,Ok..let me knw,No,No,No,,14,0,0,oklet me knw,1,0
ham,You are a very very very very bad girl. Or lady.,No,No,No,,48,0,-0.91,you are a very very very very bad girl or lady,1,0
smishing,"	Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app",No,No,yes,,157,1,0,"	todays voda numbers ending 7548 are selected to receive a 350 award if you have a match please call 08712300220 quoting claim code 4041 standard rates app",1,0
ham,K then 2marrow are you coming to class.,No,No,No,,39,0,0,k then 2marrow are you coming to class,1,0
ham,Kallis wont bat in 2nd innings.,No,No,No,,31,1,0,kallis wont bat in 2nd innings,1,0
ham,Meeting u is my work. . . Tel me when shall i do my work tomorrow???.That is what matters???,No,No,No,,92,0,0,meeting u is my work   tel me when shall i do my work tomorrowthat is what matters,1,0
spam,Overcome programming challenges for multicore and learn the techniques to scale reliability. Attend Intel session at 3.45 PM at Microsoft Community TechDays,No,No,No,,156,2,0,overcome programming challenges for multicore and learn the techniques to scale reliability attend intel session at 345 pm at microsoft community techdays,1,0
ham,"Sorry, have urgent work..",No,No,No,,25,0,-0.5,sorry have urgent work,1,0
ham,Good Morning plz call me sir..I have an urgent work..,No,No,No,,53,0,0.7,good morning plz call me siri have an urgent work,1,0
